# Copyright 2017 United States Government as represented by the Administrator
# of the National Aeronautics and Space Administration. No copyright is claimed
# in the United States under Title 17, U.S. Code. All Other Rights Reserved.


# TO_lab cFS application data tables
#   Use the Data | Import table(s) command to import the TO_lab
#   data table definitions into an existing project

_macros_
"CFE_SB_TLM_HDR_SIZE","2"
"CFE_SB_CMD_HDR_SIZE","2"

_name_type_
"to_hk_tlm_t","Structure"
_column_data_
"Data Type","Variable Name","Array Size","Bit Length","Description"
"uint8","TlmHeader","##CFE_SB_TLM_HDR_SIZE##","",""
"uint8","command_counter","","",""
"uint8","command_error_counter","","",""
"uint8","spareToAlign","2","",""

_name_type_
"to_data_types_fmt","Structure"
_column_data_
"Data Type","Variable Name","Array Size","Bit Length","Description"
"uint8","TlmHeader","##CFE_SB_TLM_HDR_SIZE##","",""
"uint16","synch","","",""
"bit_field","bit1","","1","(WITHIN COMPILER MACRO)"
"bit_field","bit2","","1","(WITHIN COMPILER MACRO)"
"bit_field","bit34","","2","(WITHIN COMPILER MACRO)"
"bit_field","bit56","","2","(WITHIN COMPILER MACRO)"
"bit_field","bit78","","2","(WITHIN COMPILER MACRO)"
"bit_field","nibble1","","4","(WITHIN COMPILER MACRO)"
"bit_field","nibble2","","4","(WITHIN COMPILER MACRO)"
"uint8","bl1","","","boolean"
"uint8","bl2","","","boolean"
"int8","b1","","",""
"int8","b2","","",""
"int8","b3","","",""
"int8","b4","","",""
"int16","w1","","",""
"int16","w2","","",""
"int32","dw1","","",""
"int32","dw2","","",""
"float","f1","","",""
"float","f2","","",""
"double","df1","","",""
"double","df2","","",""
"char","str","10","",""

_name_type_
"TO_ADD_PKT_t","Structure"
_column_data_
"Data Type","Variable Name","Array Size","Bit Length","Description"
"uint8","CmdHeader","##CFE_SB_CMD_HDR_SIZE##","",""
"CFE_SB_MsgId_t","Stream","","",""
"uint16","PktSize","","",""
"CFE_SB_Qos_t","Flags","","",""
"uint8","BufLimit","","",""

_name_type_
"TO_subsciption_t","Structure"
_column_data_
"Data Type","Variable Name","Array Size","Bit Length","Description"
"CFE_SB_MsgId_t","Stream","","",""
"CFE_SB_Qos_t","Flags","","",""
"uint16","BufLimit","","",""

_name_type_
"TO_REMOVE_PKT_t","Structure"
_column_data_
"Data Type","Variable Name","Array Size","Bit Length","Description"
"uint8","CmdHeader","##CFE_SB_CMD_HDR_SIZE##","",""
"CFE_SB_MsgId_t","Stream","","",""

_name_type_
"TO_OUTPUT_ENABLE_PKT_t","Structure"
_column_data_
"Data Type","Variable Name","Array Size","Bit Length","Description"
"uint8","CmdHeader","##CFE_SB_CMD_HDR_SIZE##","",""
"char","dest_IP","16","",""
